id,brand,model,release_date,core_number,hyperthreading,lithography,tdp,performance,gpu,gpu_performance
11,Intel,Core i5-1035G7,2019 Q3,4,1,10,15.0,71.50,Iris Plus Graphics,12.30
10,Intel,Core i5-10210Y,2019 Q3,4,1,14,7.0,56.50,UHD Graphics,3.75
9,Intel,Pentium N4200,2016 Q3,4,0,14,6.0,29.50,HD Graphics 505,2.02
8,Intel,Pentium Silver N5000,2017 Q4,4,0,14,6.0,37.40,UHD Graphics 605,2.40
7,Intel,Atom x5-Z8350,2016 Q1,4,0,14,2.0,18.30,HD Graphics,1.20
6,Intel,Celeron N4100,2017 Q4,4,0,14,6.0,32.30,Hd Graphics 600,1.70
5,Intel,Core M3-7Y30,2016 Q3,2,1,14,4.5,35.00,HD Graphics 615,3.88
4,Intel,Atom x7-Z8750,2016 Q1,4,0,14,2.0,19.30,HD Graphics,1.20
3,Intel,Core i7-8500Y,2019 Q1,2,1,14,5.0,44.00,UHD Graphics 615,3.88
2,Intel,Celeron 3965Y,2017 Q2,2,0,14,6.0,19.30,HD Graphics 615,4.94
1,Intel,Core m3-8100Y,2018 Q3,2,1,14,5.0,43.50,UHD Graphics 615,3.77
